VEHICLE_ID,MODEL_YEAR,UK_MODEL,NHTSA_MODEL,VEHICLE_DESCRIPTION,OVERALL_RATING,FRONT_CRASH_RATING,SIDE_CRASH_RATING,ROLLOVER_RATING,ROLLOVER_POSSIBILITY,COMPLAINTS_COUNT,RECALLS_COUNT,INVESTIGATION_COUNT,ELECTRONIC_STABILITY_CONTROL,FORWARD_COLLISION_WARNING,LANE_DEPARTURE_WARNING
7751,2013," E Class",E-CLASS,2013 Mercedes-Benz E-Class 2 DR 4WD,,,,,0,185,7,2,Standard,Optional,Optional
7739,2013," E Class",E-CLASS,2013 Mercedes-Benz E-Class 2 DR RWD,,,,,0,185,7,2,Standard,Optional,Optional
7246,2013," E Class",E-CLASS,2013 Mercedes-Benz E-Class 4 DR AWD,,,,5,0.099,185,7,2,Standard,Optional,Optional
7245,2013," E Class",E-CLASS,2013 Mercedes-Benz E-Class 4 DR RWD,,,,5,0.099,185,7,2,Standard,Optional,Optional
7467,2013," G Class",G-CLASS,2013 Mercedes-Benz G-Class SUV AWD,,,,,0,5,3,0,Standard,No,No
7468,2013," GL Class",GL-CLASS,2013 Mercedes-Benz GL-Class SUV 4WD,,,,,0,52,3,0,Standard,Optional,Optional
7684,2013," S Class",S-CLASS,2013 Mercedes-Benz S-Class 4 DR 4WD,,,,,0,9,0,0,Standard,Optional,Optional
7471,2013," S Class",S-CLASS,2013 Mercedes-Benz S-Class 4 DR RWD,,,,,0,9,0,0,Standard,Optional,Optional
2774,2008," C Class",C-CLASS,2008 Mercedes-Benz C-Class 4-DR. w/SAB,,,,4,0.105,836,9,3,Standard,No,No
2473,2008," CL Class",CL-CLASS,2008 Mercedes-Benz CL-Class 2-DR w/SAB,,,,,0,10,3,1,Standard,Optional,No
2443,2008," E Class",E-CLASS,2008 Mercedes-Benz E-Class 4-DR. w/SAB,,,,5,0.101,226,6,1,Standard,Optional,No
2442,2008," E Class",E-CLASS,2008 Mercedes-Benz E-Class Wagon 4-DR. w/SAB,,,,5,0.101,226,6,1,Standard,Optional,No
12471,2018," C Class",C-CLASS,2018 Mercedes-Benz C-Class 4 DR 4WD,5,4,5,4,0.11,127,19,3,Standard,Optional,Optional
12470,2018," C Class",C-CLASS,2018 Mercedes-Benz C-Class 4 DR RWD,5,4,5,4,0.11,127,19,3,Standard,Optional,Optional
12469,2018," C Class",C-CLASS,2018 Mercedes-Benz C-Class 2 DR RWD,,,,,0,127,19,3,Standard,Optional,Optional
12468,2018," C Class",C-CLASS,2018 Mercedes-Benz C-Class 2 DR 4WD,,,,,0,127,19,3,Standard,Optional,Optional
12467,2018," C Class",C-CLASS,2018 Mercedes-Benz C-Class C RWD,,,,,0,127,19,3,Standard,Optional,Optional
12466,2018," C Class",C-CLASS,2018 Mercedes-Benz C-Class C 4WD,,,,,0,127,19,3,Standard,Optional,Optional
12489,2018," CLA Class",CLA-CLASS,2018 Mercedes-Benz CLA-Class 4 DR 4WD,,,,,0,45,10,2,Standard,Optional,Optional
12488,2018," CLA Class",CLA-CLASS,2018 Mercedes-Benz CLA-Class 4 DR FWD,,,,,0,45,10,2,Standard,Optional,Optional
12481,2018," CLS Class",CLS-CLASS,2018 Mercedes-Benz CLS-Class 4 DR 4WD,,,,,0,0,1,1,Standard,Optional,Optional
12480,2018," CLS Class",CLS-CLASS,2018 Mercedes-Benz CLS-Class 4 DR RWD,,,,,0,0,1,1,Standard,Optional,Optional
12479,2018," E Class",E-CLASS,2018 Mercedes-Benz E-Class C RWD,,,,,0,66,18,0,Standard,Standard,Optional
12478,2018," E Class",E-CLASS,2018 Mercedes-Benz E-Class C 4WD,,,,,0,66,18,0,Standard,Standard,Optional
12477,2018," E Class",E-CLASS,2018 Mercedes-Benz E-Class 4 DR 4WD,5,5,5,5,0.097,66,18,0,Standard,Standard,Optional
12476,2018," E Class",E-CLASS,2018 Mercedes-Benz E-Class 4 DR RWD,5,5,5,5,0.097,66,18,0,Standard,Standard,Optional
12475,2018," E Class",E-CLASS,2018 Mercedes-Benz E-CLASS SW 4WD,5,5,5,5,0.097,66,18,0,Standard,Standard,Optional
12474,2018," E Class",E-CLASS,2018 Mercedes-Benz E-CLASS SW RWD,5,5,5,5,0.097,66,18,0,Standard,Standard,Optional
12473,2018," E Class",E-CLASS,2018 Mercedes-Benz E-Class 2 DR RWD,,,,,0,66,18,0,Standard,Standard,Optional
12472,2018," E Class",E-CLASS,2018 Mercedes-Benz E-Class 2 DR 4WD,,,,,0,66,18,0,Standard,Standard,Optional
12500,2018," G Class",G-CLASS,2018 Mercedes-Benz G-Class SUV AWD,,,,,0,0,1,0,Standard,No,No
12491,2018," GLA Class",GLA-CLASS,2018 Mercedes-Benz GLA-Class 4 DR FWD,,,,,0,49,12,2,Standard,Optional,Optional
12490,2018," GLA Class",GLA-CLASS,2018 Mercedes-Benz GLA-Class 4 DR 4WD,,,,,0,49,12,2,Standard,Optional,Optional
12493,2018," GLC Class",GLC-CLASS,2018 Mercedes-Benz GLC-Class SUV 4WD,5,5,5,4,0.184,99,15,3,Standard,Optional,Optional
