SOURCE_FILE,INGESTED_AT,MODEL_YEAR,NHTSA_MODEL,UK_MODEL,VEHICLE_ID,VEHICLE_DESCRIPTION,OVERALL_RATING,OVERALL_FRONT_CRASH_RATING,FRONT_CRASH_DRIVER_RATING,FRONT_CRASH_PASSENGER_RATING,OVERALL_SIDE_CRASH_RATING,SIDE_CRASH_DRIVER_RATING,SIDE_CRASH_PASSENGER_RATING,ROLLOVER_RATING,ROLLOVER_POSSIBILITY,SIDE_POLE_CRASH_RATING,ELECTRONIC_STABILITY_CONTROL,FORWARD_COLLISION_WARNING,LANE_DEPARTURE_WARNING,COMPLAINTS_COUNT,RECALLS_COUNT,INVESTIGATION_COUNT,NHTSA_MODEL_YEAR,NHTSA_MAKE,NHTSA_MODEL_FROM_RATING
nhtsa_safety_2004.json,2026-08-28 16:05:12.636,2004,SLK," SLK",1212,2004 Mercedes-Benz SLK w/SAB,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,Not Rated,Standard,No,No,7,1,1,2004,MERCEDES-BENZ,SLK
nhtsa_safety_2012.json,2026-08-28 16:05:12.636,2012,B-CLASS," B Class",6373,2012 Mercedes-Benz B-Class 4 DR RWD,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,Not Rated,Standard,No,No,0,0,0,2012,MERCEDES-BENZ,B-CLASS
nhtsa_safety_2012.json,2026-08-28 16:05:12.636,2012,C-CLASS," C Class",6739,2012 Mercedes-Benz C-Class 4 DR AWD,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,4,0.105,4,Standard,No,No,585,7,1,2012,MERCEDES-BENZ,C-CLASS
nhtsa_safety_2012.json,2026-08-28 16:05:12.636,2012,C-CLASS," C Class",6363,2012 Mercedes-Benz C-Class 4 DR RWD,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,4,0.105,4,Standard,No,No,585,7,1,2012,MERCEDES-BENZ,C-CLASS
nhtsa_safety_2012.json,2026-08-28 16:05:12.636,2012,CLS-CLASS," CLS Class",6741,2012 Mercedes-Benz CLS-Class 4 DR AWD,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,Not Rated,Standard,Optional,Optional,24,3,1,2012,MERCEDES-BENZ,CLS-CLASS
nhtsa_safety_2012.json,2026-08-28 16:05:12.636,2012,CLS-CLASS," CLS Class",6364,2012 Mercedes-Benz CLS-Class 4 DR RWD,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,Not Rated,Standard,Optional,Optional,24,3,1,2012,MERCEDES-BENZ,CLS-CLASS
nhtsa_safety_2012.json,2026-08-28 16:05:12.636,2012,E-CLASS," E Class",6743,2012 Mercedes-Benz E-Class 4 DR AWD,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,5,0.099,Not Rated,Standard,Optional,Optional,233,7,2,2012,MERCEDES-BENZ,E-CLASS
nhtsa_safety_2012.json,2026-08-28 16:05:12.636,2012,E-CLASS," E Class",6742,2012 Mercedes-Benz E-Class 2 DR AWD,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,Not Rated,Standard,Optional,Optional,233,7,2,2012,MERCEDES-BENZ,E-CLASS
nhtsa_safety_2012.json,2026-08-28 16:05:12.636,2012,E-CLASS," E Class",6370,2012 Mercedes-Benz E-Class 4 DR RWD,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,5,0.099,Not Rated,Standard,Optional,Optional,233,7,2,2012,MERCEDES-BENZ,E-CLASS
nhtsa_safety_2012.json,2026-08-28 16:05:12.636,2012,E-CLASS," E Class",6368,2012 Mercedes-Benz E-Class 2 DR RWD,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,Not Rated,Standard,Optional,Optional,233,7,2,2012,MERCEDES-BENZ,E-CLASS
nhtsa_safety_2012.json,2026-08-28 16:05:12.636,2012,G-CLASS," G Class",6377,2012 Mercedes-Benz G-Class SUV AWD,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0,Not Rated,Standard,No,No,0,0,0,2012,MERCEDES-BENZ,G-CLASS
